Number,Description,Lifecycle Phase,Rev,Overall Compliance,Part Type,Mfr. Part Number (Manufacturers),Mfr. Name (Manufacturers),Lifecycle
07087893,"ODM, CONN, Header, 2x4, 1.27mm pitch, Vertical, SMT, Solder, RoHS",Production,A,Compliant,Connector-Data,TFM-104-02-L-D-K-TR,SAMTEC,Active
07114098,"JDM, CAPACITOR-CHIP,0.1uF,100V,K,X7R,1206,TR",Production,A,Compliant,Capacitor,GRM319R72A104KA01D,Murata,NRND
07114098,"JDM, CAPACITOR-CHIP,0.1uF,100V,K,X7R,1206,TR",Production,A,Compliant,Capacitor,C1206X104K101T,"Holy Stone Enterprise Co., Ltd.",Obsolete
07114098,"JDM, CAPACITOR-CHIP,0.1uF,100V,K,X7R,1206,TR",Production,A,Compliant,Capacitor,CC1206KKX7R0BB104,Yageo America,Obsolete
07114099,"JDM, CAPACITOR-CHIP,0.01uF,50V,K,X7R,603,TR",Production,A,Compliant,Capacitor,C1608X7R103KGT,Darfon Electronic Corp.,Obsolete
07114099,"JDM, CAPACITOR-CHIP,0.01uF,50V,K,X7R,603,TR",Production,A,Compliant,Capacitor,CC0603KRX7R9BB103,Yageo America,Obsolete
07114099,"JDM, CAPACITOR-CHIP,0.01uF,50V,K,X7R,603,TR",Production,A,Compliant,Capacitor,0603B103K500CT,Walsin Technology,Obsolete
07114099,"JDM, CAPACITOR-CHIP,0.01uF,50V,K,X7R,603,TR",Production,A,Compliant,Capacitor,GRM188R71H103KA01D,Murata,Obsolete
07114100,"JDM, CAPACITOR-CHIP,0.1uF,50V,K,X7R,805,TR",Production,A,Compliant,Capacitor,C2012X7R104K,Darfon Electronic Corp.,Obsolete
07114100,"JDM, CAPACITOR-CHIP,0.1uF,50V,K,X7R,805,TR",Production,A,Compliant,Capacitor,CC0805KRX7R9BB104,Yageo America,Obsolete
07114100,"JDM, CAPACITOR-CHIP,0.1uF,50V,K,X7R,805,TR",Production,A,Compliant,Capacitor,0805B104K500,Walsin Technology,Obsolete
07114100,"JDM, CAPACITOR-CHIP,0.1uF,50V,K,X7R,805,TR",Production,A,Compliant,Capacitor,C2012X7R1H104KT0J0N,TDK,Active
07114102,"JDM, CAPACITOR-CHIP,18pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,GRM1555C1H180J,Murata,Active
07114102,"JDM, CAPACITOR-CHIP,18pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,0402N180J500CT,Walsin Technology,Active
07114102,"JDM, CAPACITOR-CHIP,18pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,C1005C0G1H180JT000P,TDK,Active
07114102,"JDM, CAPACITOR-CHIP,18pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,CC0402JRNPO9BN180,Yageo America,Active
07114102,"JDM, CAPACITOR-CHIP,18pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,C1005NPO180JGT,Darfon Electronic Corp.,Active
07114112,"JDM, CAPACITOR-CHIP,22pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,CC0402JRNPO9BN220,Yageo America,Active
07114112,"JDM, CAPACITOR-CHIP,22pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,C1005NPO220JGT,Darfon Electronic Corp.,Active
07114112,"JDM, CAPACITOR-CHIP,22pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,0402N220J500CT,Walsin Technology,Active
07114112,"JDM, CAPACITOR-CHIP,22pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,GRM1555C1H220JA01D,Murata,NRND
07114112,"JDM, CAPACITOR-CHIP,22pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,C1005C0G1H220JT000P,TDK,NRND
07114113,"JDM, CAPACITOR-CHIP,100pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,0402N101J500CT,Walsin Technology,NRND
07114113,"JDM, CAPACITOR-CHIP,100pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,C1005NPO101JGT,Darfon Electronic Corp.,NRND
07114113,"JDM, CAPACITOR-CHIP,100pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,CC0402JRNPO9BN101,Yageo America,NRND
07114113,"JDM, CAPACITOR-CHIP,100pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,C1005C0G1H101JT000F,TDK,Active
07114113,"JDM, CAPACITOR-CHIP,100pF,50V,J,NP0,402,TR",Production,A,Compliant,Capacitor,GRM1555C1H101JA01D,Murata,Obsolete
07114114,"JDM, CAPACITOR-CHIP,220pF,50V,K,X7R,402,TR",Production,A,Compliant,Capacitor,GRM155R71H221KA01D,Murata,Obsolete
07114114,"JDM, CAPACITOR-CHIP,220pF,50V,K,X7R,402,TR",Production,A,Compliant,Capacitor,CC0402KRX7R9BB221,Yageo America,Obsolete
07114114,"JDM, CAPACITOR-CHIP,220pF,50V,K,X7R,402,TR",Production,A,Compliant,Capacitor,0402B221K500CT,Walsin Technology,Obsolete
07114114,"JDM, CAPACITOR-CHIP,220pF,50V,K,X7R,402,TR",Production,A,Compliant,Capacitor,C1005X7R221KGT,Darfon Electronic Corp.,Active
07114114,"JDM, CAPACITOR-CHIP,220pF,50V,K,X7R,402,TR",Production,A,Compliant,Capacitor,C1005X7R1H221KT000F,TDK,Active
07114115,"JDM, CAPACITOR-CHIP,1000pF,50V,K,X7R,402,TR",Production,B,Missing Info,Capacitor,C1005X7R1H102KT000F,TDK,Active
07114115,"JDM, CAPACITOR-CHIP,1000pF,50V,K,X7R,402,TR",Production,B,Missing Info,Capacitor,CC0402KRX7R9BB102,Yageo America,Active
07114115,"JDM, CAPACITOR-CHIP,1000pF,50V,K,X7R,402,TR",Production,B,Missing Info,Capacitor,CL05B102KB5NNNC,Samsung,Active
07114115,"JDM, CAPACITOR-CHIP,1000pF,50V,K,X7R,402,TR",Production,B,Missing Info,Capacitor,C1005X7R102KGT,Darfon Electronic Corp.,Active
07114115,"JDM, CAPACITOR-CHIP,1000pF,50V,K,X7R,402,TR",Production,B,Missing Info,Capacitor,UMK105 B7102KV-F,Taiyo-Yuden,Active
07114115,"JDM, CAPACITOR-CHIP,1000pF,50V,K,X7R,402,TR",Production,B,Missing Info,Capacitor,GRM155R71H102KA01D,Murata,Active
07114116,"JDM, CAPACITOR-CHIP,3900pF,25V,K,X7R,402,TR",Production,A,Compliant,Capacitor,CC0402KRX7R8BB392,Yageo America,Active
07114116,"JDM, CAPACITOR-CHIP,3900pF,25V,K,X7R,402,TR",Production,A,Compliant,Capacitor,0402B392K250CT,Walsin Technology,Active
